pentagon index	x	y	z	x_c	y_c	z_c
21	452.6542883615452	-16.046113529213482	0.0	445.2302722748278	0.0	1
21	463.5198129208714	0.0	0.0	445.2302722748278	0.0	1
22	540.1776619758322	-35.48645673276092	0.0	528.1613348590021	-46.35198129208714	1
22	540.1776619758322	-57.217505851413364	0.0	528.1613348590021	-46.35198129208714	1
22	520.7373187722848	-30.305867762873657	0.0	528.1613348590021	-46.35198129208714	1
22	520.7373187722848	-62.398094821300624	0.0	528.1613348590021	-46.35198129208714	1
22	509.87179421295855	-46.35198129208714	0.0	528.1613348590021	-46.35198129208714	1
23	479.5659264500849	-35.48645673276092	0.0	491.58225356691497	-46.35198129208714	1
23	479.5659264500849	-57.217505851413364	0.0	491.58225356691497	-46.35198129208714	1
23	499.00626965363233	-30.305867762873657	0.0	491.58225356691497	-46.35198129208714	1
23	499.00626965363233	-62.398094821300624	0.0	491.58225356691497	-46.35198129208714	1
23	509.87179421295855	-46.35198129208714	0.0	491.58225356691497	-46.35198129208714	1
24	586.5296432679193	10.865524559326222	0.0	574.5133161510892	0.0	1
24	586.5296432679193	-10.865524559326222	0.0	574.5133161510892	0.0	1
24	567.0893000643719	16.046113529213482	0.0	574.5133161510892	0.0	1
24	567.0893000643719	-16.046113529213482	0.0	574.5133161510892	0.0	1
24	556.2237755050456	0.0	0.0	574.5133161510892	0.0	1
25	525.917907742172	10.865524559326222	0.0	537.9342348590021	0.0	1
25	525.917907742172	-10.865524559326222	0.0	537.9342348590021	0.0	1
25	545.3582509457194	16.046113529213482	0.0	537.9342348590021	0.0	1
25	545.3582509457194	-16.046113529213482	0.0	537.9342348590021	0.0	1
25	556.2237755050456	0.0	0.0	537.9342348590021	0.0	1
26	632.8816245600065	-35.48645673276092	0.0	620.8652974431762	-46.35198129208714	1
26	632.8816245600065	-57.217505851413364	0.0	620.8652974431762	-46.35198129208714	1
26	613.4412813564591	-30.305867762873657	0.0	620.8652974431762	-46.35198129208714	1
26	613.4412813564591	-62.398094821300624	0.0	620.8652974431762	-46.35198129208714	1
26	602.5757567971327	-46.35198129208714	0.0	620.8652974431762	-46.35198129208714	1
27	572.2698890342591	-35.48645673276092	0.0	584.2862161510892	-46.35198129208714	1
27	572.2698890342591	-57.217505851413364	0.0	584.2862161510892	-46.35198129208714	1
27	591.7102322378065	-30.305867762873657	0.0	584.2862161510892	-46.35198129208714	1
27	591.7102322378065	-62.398094821300624	0.0	584.2862161510892	-46.35198129208714	1
27	602.5757567971327	-46.35198129208714	0.0	584.2862161510892	-46.35198129208714	1
28	679.2336058520935	10.865524559326222	0.0	667.2172787352634	0.0	1
28	679.2336058520935	-10.865524559326222	0.0	667.2172787352634	0.0	1
28	659.7932626485461	16.046113529213482	0.0	667.2172787352634	0.0	1
28	659.7932626485461	-16.046113529213482	0.0	667.2172787352634	0.0	1
28	648.9277380892199	0.0	0.0	667.2172787352634	0.0	1
29	618.6218703263463	10.865524559326222	0.0	630.6381974431764	0.0	1
29	618.6218703263463	-10.865524559326222	0.0	630.6381974431764	0.0	1
29	638.0622135298937	16.046113529213482	0.0	630.6381974431764	0.0	1
29	638.0622135298937	-16.046113529213482	0.0	630.6381974431764	0.0	1
29	648.9277380892199	0.0	0.0	630.6381974431764	0.0	1
30	725.5855871441807	-35.48645673276092	0.0	713.5692600273505	-46.35198129208714	1
30	725.5855871441807	-57.217505851413364	0.0	713.5692600273505	-46.35198129208714	1
30	706.1452439406332	-30.305867762873657	0.0	713.5692600273505	-46.35198129208714	1
30	706.1452439406332	-62.398094821300624	0.0	713.5692600273505	-46.35198129208714	1
