time	coordination	charge	err	sec	mT
2000	4	0.19804444444444444	0.007462106232628481	2000	25.0
2010	3	-0.10219047619047619	0.007066536369732637	2010	25.0
2010	4	0.20213333333333333	0.00734340343616863	2010	25.0
2020	3	-0.10038095238095238	0.007075467542934068	2020	25.0
2020	4	0.19662222222222223	0.007380285740471227	2020	25.0
2030	3	-0.10038095238095238	0.007039480112520508	2030	25.0
2030	4	0.19715555555555556	0.0073123257438803425	2030	25.0
2040	3	-0.10571428571428572	0.007049928517520607	2040	25.0
2040	4	0.20977777777777779	0.007373779980602523	2040	25.0
2050	3	-0.10066666666666667	0.007084242772042157	2050	25.0
2050	4	0.19893333333333332	0.007372634727928793	2050	25.0
2060	3	-0.09733333333333333	0.00708390025441033	2060	25.0
2060	4	0.19306666666666666	0.007345722192910344	2060	25.0
2070	3	-0.1020952380952381	0.007061465638301097	2070	25.0
2070	4	0.20284444444444444	0.007388866192322499	2070	25.0
2080	3	-0.09895238095238096	0.007076425770653262	2080	25.0
2080	4	0.19413333333333332	0.00735612435067605	2080	25.0
2090	3	-0.08952380952380952	0.007082402677089565	2090	25.0
2090	4	0.17671111111111112	0.007120698389939239	2090	25.0
2100	3	-0.09457142857142857	0.007097193549032122	2100	25.0
2100	4	0.18666666666666668	0.0071953798354899845	2100	25.0
2110	3	-0.0978095238095238	0.007074618535403621	2110	25.0
2110	4	0.19164444444444445	0.007314543729926536	2110	25.0
2120	3	-0.0899047619047619	0.007087294152154379	2120	25.0
2120	4	0.17671111111111112	0.007222070476085546	2120	25.0
2130	3	-0.09142857142857143	0.007077399919753395	2130	25.0
2130	4	0.17902222222222222	0.007139954148666803	2130	25.0
2140	3	-0.09371428571428571	0.007091342221494835	2140	25.0
2140	4	0.1816888888888889	0.007371477481942008	2140	25.0
2150	3	-0.09380952380952381	0.007077197752346176	2150	25.0
2150	4	0.184	0.007269195326810353	2150	25.0
2160	3	-0.09285714285714286	0.0070829202911803675	2160	25.0
2160	4	0.18115555555555554	0.007227597401934141	2160	25.0
2170	3	-0.09361904761904762	0.007079880722587141	2170	25.0
2170	4	0.18204444444444445	0.007192728839019314	2170	25.0
2180	3	-0.09504761904761905	0.007072564506634551	2180	25.0
2180	4	0.1872	0.0071743498396258125	2180	25.0
2190	3	-0.09914285714285714	0.007073734651010012	2190	25.0
2190	4	0.19235555555555556	0.007217169411985209	2190	25.0
2200	3	-0.09838095238095237	0.007062691807650923	2200	25.0
2200	4	0.1895111111111111	0.0073324266976391135	2200	25.0
2210	3	-0.10476190476190476	0.007036439580800227	2210	25.0
2210	4	0.2049777777777778	0.007375064105812615	2210	25.0
2220	3	-0.09847619047619048	0.007076742099236939	2220	25.0
2220	4	0.19217777777777778	0.0074141699799702004	2220	25.0
2230	3	-0.10171428571428572	0.007051444017668412	2230	25.0
2230	4	0.1960888888888889	0.007357958375482186	2230	25.0
2240	3	-0.10542857142857143	0.007062986582555909	2240	25.0
2240	4	0.2	0.007455348723755545	2240	25.0
2250	3	-0.10457142857142857	0.007061024599533915	2250	25.0
2250	4	0.19928888888888888	0.007259445780203583	2250	25.0
2260	3	-0.10628571428571429	0.007054664338843204	2260	25.0
2260	4	0.20746666666666666	0.007364584169465036	2260	25.0
2270	3	-0.10028571428571428	0.007065268531328275	2270	25.0
2270	4	0.1952	0.007232262006700698	2270	25.0
2280	3	-0.10047619047619048	0.00706128699339291	2280	25.0
2280	4	0.19395555555555555	0.007315610129124275	2280	25.0
2290	3	-0.10342857142857143	0.007024477668281515	2290	25.0
2290	4	0.19715555555555556	0.007308001935475704	2290	25.0
2300	3	-0.102	0.00704481253917729	2300	25.0
2300	4	0.1928888888888889	0.007204944865726485	2300	25.0
2310	3	-0.09857142857142857	0.0070509968080834295	2310	25.0
2310	4	0.18737777777777778	0.0073416055754686295	2310	25.0
2320	3	-0.10133333333333333	0.0070709736327438785	2320	25.0
2320	4	0.19466666666666665	0.007374184806112872	2320	25.0
2330	3	-0.09847619047619048	0.007063912811228195	2330	25.0
2330	4	0.1905777777777778	0.007278039163578951	2330	25.0
2340	3	-0.10514285714285715	0.007045187305595291	2340	25.0
2340	4	0.19982222222222223	0.007398319683608382	2340	25.0
2350	3	-0.10561904761904761	0.007040984334698698	2350	25.0
2350	4	0.20071111111111112	0.007321011752116826	2350	25.0
2360	3	-0.1041904761904762	0.007043285830585729	2360	25.0
