time	coordination	charge	err	sec	mT
710	4	-0.3368888888888889	0.016502301769135867	710	8.875
715	3	0.17315555555555556	0.011234886228797395	715	8.9375
715	4	-0.3488	0.016444769039997323	715	8.9375
720	3	0.1768	0.011220397853017898	720	9.0
720	4	-0.35715555555555556	0.016408604295978162	720	9.0
725	3	0.1816	0.011212762678574531	725	9.0625
725	4	-0.3672888888888889	0.016356853139557214	725	9.0625
730	3	0.1872	0.011199500495762238	730	9.125
730	4	-0.3781333333333333	0.016277689437321385	730	9.125
735	3	0.192	0.011185296785805748	735	9.1875
735	4	-0.38755555555555554	0.016194669639187375	735	9.1875
740	3	0.1976888888888889	0.011171700400189357	740	9.25
740	4	-0.3984	0.016133100534713316	740	9.25
745	3	0.2032	0.011169427109310919	745	9.3125
745	4	-0.4090666666666667	0.016058258432691614	745	9.3125
750	3	0.20977777777777779	0.011156941005501589	750	9.375
750	4	-0.42204444444444444	0.015987898787471363	750	9.375
755	3	0.2137777777777778	0.011160647929356024	755	9.4375
755	4	-0.4289777777777778	0.015952674758827154	755	9.4375
760	3	0.22106666666666666	0.011141576671583449	760	9.5
760	4	-0.4424888888888889	0.015868128916911445	760	9.5
765	3	0.22853333333333334	0.011137007363706115	765	9.5625
765	4	-0.45724444444444445	0.015781905337738964	765	9.5625
770	3	0.23342222222222223	0.011121848113389557	770	9.625
770	4	-0.4672	0.015721823166200063	770	9.625
775	3	0.23928888888888888	0.011107060984090623	775	9.6875
775	4	-0.47964444444444443	0.015627917074341004	775	9.6875
780	3	0.24355555555555555	0.011100803056853847	780	9.75
780	4	-0.488	0.015575507004495	780	9.75
785	3	0.2495111111111111	0.011077817298762433	785	9.8125
785	4	-0.49937777777777775	0.015525102182438825	785	9.8125
790	3	0.25626666666666664	0.011055962397593077	790	9.875
790	4	-0.5121777777777777	0.015451210020801577	790	9.875
795	3	0.25955555555555554	0.011048976700553308	795	9.9375
795	4	-0.5194666666666666	0.01538545725096489	795	9.9375
800	3	0.26568888888888886	0.011030324025398925	800	10.0
800	4	-0.5317333333333333	0.015334767519353885	800	10.0
805	3	0.2704	0.011025234481347039	805	10.0625
805	4	-0.5416888888888889	0.015252039556399357	805	10.0625
810	3	0.2768	0.011018173190265521	810	10.125
810	4	-0.5559111111111111	0.015143993502291557	810	10.125
815	3	0.28328888888888887	0.010999352510840246	815	10.1875
815	4	-0.5672888888888888	0.015087595614274286	815	10.1875
820	3	0.28924444444444447	0.010993898791584102	820	10.25
820	4	-0.5793777777777778	0.015006737362668734	820	10.25
825	3	0.29662222222222223	0.010985877246235702	825	10.3125
825	4	-0.5934222222222222	0.014944129873174864	825	10.3125
830	3	0.30435555555555555	0.010975031893234722	830	10.375
830	4	-0.6074666666666667	0.014848183979113477	830	10.375
835	3	0.3087111111111111	0.01094871454612583	835	10.4375
835	4	-0.6170666666666667	0.014832143437022124	835	10.4375
840	3	0.3145777777777778	0.010937678470552034	840	10.5
840	4	-0.6280888888888889	0.014782407229737043	840	10.5
845	3	0.32133333333333336	0.010928223474979189	845	10.5625
845	4	-0.6423111111111112	0.014710800801638547	845	10.5625
850	3	0.3263111111111111	0.010909359591490229	850	10.625
850	4	-0.6515555555555556	0.014661687002394645	850	10.625
855	3	0.33368888888888887	0.010910304754462417	855	10.6875
855	4	-0.6656	0.014571916445892598	855	10.6875
860	3	0.33964444444444447	0.010891256531129519	860	10.75
860	4	-0.6780444444444444	0.014499039927909982	860	10.75
865	3	0.3450666666666667	0.010869875542519867	865	10.8125
865	4	-0.6896	0.014449416453926082	865	10.8125
