p	x_c	y_c
562	0.0	-398.8782909827407
563	0.0	-435.45737227482783
564	139.0559438762614	-352.52630969065353
565	139.0559438762614	-389.1053909827407
566	92.70396258417429	-398.8782909827407
567	92.70396258417429	-435.45737227482783
568	231.75990646043567	-352.52630969065353
569	231.75990646043567	-389.1053909827407
570	185.40792516834858	-398.8782909827407
571	185.40792516834858	-435.45737227482783
572	324.46386904460996	-352.52630969065353
573	324.46386904460996	-389.1053909827407
574	278.1118877525228	-398.8782909827407
575	278.1118877525228	-435.45737227482783
576	417.16783162878426	-352.52630969065353
577	417.16783162878426	-389.1053909827407
578	370.81585033669717	-398.8782909827407
579	370.81585033669717	-435.45737227482783
580	509.87179421295855	-352.52630969065353
581	509.87179421295855	-389.1053909827407
582	463.51981292087135	-398.8782909827407
583	463.51981292087135	-435.45737227482783
584	602.5757567971327	-352.52630969065353
585	602.5757567971327	-389.1053909827407
586	556.2237755050456	-398.8782909827407
587	556.2237755050456	-435.45737227482783
588	695.279719381307	-352.52630969065353
589	695.279719381307	-389.1053909827407
590	648.9277380892199	-398.8782909827407
591	648.9277380892199	-435.45737227482783
592	787.9836819654813	-352.52630969065353
593	787.9836819654813	-389.1053909827407
594	741.6317006733943	-398.8782909827407
595	741.6317006733943	-435.45737227482783
596	880.6876445496556	-352.52630969065353
597	880.6876445496556	-389.1053909827407
598	834.3356632575685	-398.8782909827407
599	834.3356632575685	-435.45737227482783
600	46.351981292087146	-445.2302722748278
601	46.351981292087146	-481.809353566915
602	0.0	-491.5822535669149
603	0.0	-528.1613348590022
604	139.0559438762614	-445.2302722748278
605	139.0559438762614	-481.809353566915
606	92.70396258417429	-491.5822535669149
607	92.70396258417429	-528.1613348590022
608	231.75990646043567	-445.2302722748278
609	231.75990646043567	-481.809353566915
610	185.40792516834858	-491.5822535669149
611	185.40792516834858	-528.1613348590022
612	324.46386904460996	-445.2302722748278
613	324.46386904460996	-481.809353566915
614	278.1118877525228	-491.5822535669149
615	278.1118877525228	-528.1613348590022
616	417.16783162878426	-445.2302722748278
617	417.16783162878426	-481.809353566915
618	370.81585033669717	-491.5822535669149
619	370.81585033669717	-528.1613348590022
620	509.87179421295855	-445.2302722748278
621	509.87179421295855	-481.809353566915
622	463.51981292087135	-491.5822535669149
623	463.51981292087135	-528.1613348590022
624	602.5757567971327	-445.2302722748278
625	602.5757567971327	-481.809353566915
