Exp	frame	abs_C	err	time(s)	field(mT)	time	mT
21.0	230000	0.5969473684209661	0.0332644429462802	2300.0	25.0	2300.0	23.0
21.0	235000	0.5972834956566739	0.03319560704943417	2350.0	25.0	2350.0	23.5
21.0	240000	0.5973571992628613	0.0332280035869907	2400.0	25.0	2400.0	24.0
21.0	250000	0.6002316033266122	0.03303258457302335	2500.0	25.0	2500.0	25.0
21.0	195000	0.5858406148014048	0.03348421918879281	1950.0	24.375	1950.0	19.5
21.0	125000	0.5145955050262183	0.03154822664482045	1250.0	15.625	1250.0	12.5
21.0	245000	0.5991683553964114	0.03315738201471414	2450.0	25.0	2450.0	24.5
21.0	115000	0.4965263157890438	0.030881269006597264	1150.0	14.375	1150.0	11.5
21.0	120000	0.5063157894732773	0.031263665470444506	1200.0	15.0	1200.0	12.0
21.0	10000	0.3748421052621793	0.024365424845951725	100.0	1.25	100.0	1.0
21.0	15000	0.3753473684200753	0.024389586387460516	150.0	1.875	150.0	1.5
21.0	20000	0.3752631578937613	0.024400815756516654	200.0	2.5	200.0	2.0
21.0	25000	0.3758631578937618	0.02442234534105859	250.0	3.125	250.0	2.5
21.0	30000	0.3754842105253384	0.02444786636094331	300.0	3.75	300.0	3.0
21.0	35000	0.37668421052533785	0.02451462629933202	350.0	4.375	350.0	3.5
21.0	40000	0.3781263157885036	0.02459990744951114	400.0	5.0	400.0	4.0
21.0	45000	0.3801052631569389	0.02471230139501254	450.0	5.625	450.0	4.5
21.0	50000	0.3824842105253666	0.024845807847230356	500.0	6.25	500.0	5.0
21.0	55000	0.3855999999990655	0.02505306406893577	550.0	6.875	550.0	5.5
21.0	5000	0.3756315789463943	0.024423493716664208	50.0	0.625	50.0	0.5
21.0	65000	0.3963684210517428	0.02572809278017704	650.0	8.125	650.0	6.5
21.0	60000	0.3906526315780357	0.025349206706067752	600.0	7.5	600.0	6.0
21.0	105000	0.4769789473678952	0.030034888594890806	1050.0	13.125	1050.0	10.5
21.0	100000	0.4665052631573258	0.02959349774977046	1000.0	12.5	1000.0	10.0
21.0	95000	0.4549157894730779	0.02895940217953844	950.0	11.875	950.0	9.5
21.0	90000	0.4424338123052405	0.028345966433918908	900.0	11.25	900.0	9.0
21.0	110000	0.4871835359751056	0.03048218978732895	1100.0	13.75	1100.0	11.0
21.0	80000	0.4197799884196661	0.027101053307667163	800.0	10.0	800.0	8.0
21.0	75000	0.4101684210518138	0.026572270092077417	750.0	9.375	750.0	7.5
21.0	70000	0.4019789473675591	0.02612291206105525	700.0	8.75	700.0	7.0
21.0	85000	0.4304663648797885	0.02772085896815803	850.0	10.625	850.0	8.5
26.0	180000	0.6148857774499766	0.035278528304983736	1800.0	22.5	1800.0	18.0
26.0	140000	0.5729473684208106	0.03370730288817693	1400.0	17.5	1400.0	14.0
26.0	145000	0.5805252908045226	0.03399041231607591	1450.0	18.125	1450.0	14.5
26.0	150000	0.5869263157892171	0.034282758056439384	1500.0	18.75	1500.0	15.0
26.0	155000	0.5936736842102691	0.03450683749224225	1550.0	19.375	1550.0	15.5
26.0	160000	0.6001999999997404	0.034759408587459115	1600.0	20.0	1600.0	16.0
26.0	165000	0.6045052631575965	0.03505384307478989	1650.0	20.625	1650.0	16.5
26.0	135000	0.5655999999997586	0.0332968091309455	1350.0	16.875	1350.0	13.5
26.0	170000	0.6086842105260382	0.035047782336431965	1700.0	21.25	1700.0	17.0
26.0	175000	0.6121684210523551	0.035162772069470064	1750.0	21.875	1750.0	17.5
26.0	185000	0.6181176965993606	0.03535345111417588	1850.0	23.125	1850.0	18.5
26.0	210000	0.6256105263155117	0.035426651195562174	2100.0	25.0	2100.0	21.0
26.0	195000	0.6211695352384042	0.03544383104289223	1950.0	24.375	1950.0	19.5
26.0	200000	0.6229720482178609	0.03543626059941879	2000.0	25.0	2000.0	20.0
26.0	205000	0.6235052631575995	0.03546736920500945	2050.0	25.0	2050.0	20.5
26.0	215000	0.6268238761972165	0.03535826484294458	2150.0	25.0	2150.0	21.5
