frame	type	coordination	number	fraction	err	mT
2000	Q = -2	4	1.8571428571428572	0.20634920634920634	0.017812178021802606	3.5907619000000004
2000	Q = -3	3	2.5	0.078125	0.006769292230927271	3.5907619000000004
2000	Q = -4	4	1.0	0.1111111111111111	0.0	3.5907619000000004
2000	Q = 0	4	4.709677419354839	0.5232974910394266	0.03013027529968577	3.5907619000000004
2100	Q = +1	3	12.096774193548388	0.3780241935483871	0.01422526316837421	3.742457138
2100	Q = +2	4	2.2222222222222223	0.24691358024691357	0.023223208472245932	3.742457138
2100	Q = +3	3	2.074074074074074	0.06481481481481481	0.0070621552760156475	3.742457138
2100	Q = +4	4	1.125	0.12500000000000003	0.013888888888888886	3.742457138
2100	Q = -1	3	16.258064516129032	0.5080645161290323	0.017508622943700303	3.742457138
2100	Q = -2	4	1.75	0.19444444444444445	0.015780890800858267	3.742457138
2100	Q = -3	3	2.375	0.07421875	0.006733058996218434	3.742457138
2100	Q = -4	4	1.0	0.1111111111111111	0.0	3.742457138
2100	Q = 0	4	5.064516129032258	0.5627240143369178	0.030888211518392116	3.742457138
2200	Q = +1	3	12.32258064516129	0.3850806451612903	0.015294700866959821	3.8941523759999996
2200	Q = +2	4	2.5555555555555554	0.28395061728395055	0.022453163186204918	3.8941523759999996
2200	Q = +3	3	2.0384615384615383	0.06370192307692307	0.0070371544078386755	3.8941523759999996
2200	Q = +4	4	1.25	0.1388888888888889	0.027777777777777776	3.8941523759999996
2200	Q = -1	3	16.129032258064516	0.5040322580645161	0.01921149878963161	3.8941523759999996
2200	Q = -2	4	1.6551724137931034	0.18390804597701152	0.014874305683307271	3.8941523759999996
2200	Q = -3	3	2.28	0.07125	0.007333214961165851	3.8941523759999996
2200	Q = -4	4	1.2	0.13333333333333336	0.022222222222222216	3.8941523759999996
2200	Q = 0	4	4.870967741935484	0.5412186379928317	0.03207167711065413	3.8941523759999996
2300	Q = +1	3	12.290322580645162	0.3840725806451613	0.013989959886556911	4.045847614
2300	Q = +2	4	2.5	0.2777777777777778	0.020205360207036328	4.045847614
2300	Q = +3	3	1.92	0.06	0.0056825757070774405	4.045847614
2300	Q = +4	4	1.25	0.1388888888888889	0.027777777777777776	4.045847614
2300	Q = -1	3	16.225806451612904	0.5070564516129032	0.01749313886112801	4.045847614
2300	Q = -2	4	1.8571428571428572	0.20634920634920634	0.018706528602818715	4.045847614
2300	Q = -3	3	2.3076923076923075	0.07211538461538461	0.007707317087442981	4.045847614
2300	Q = -4	4	1.0	0.1111111111111111	0.0	4.045847614
2300	Q = 0	4	4.774193548387097	0.5304659498207884	0.026629642467393133	4.045847614
2400	Q = +1	3	12.096774193548388	0.3780241935483871	0.015360998103871327	4.197542852
2400	Q = +2	4	2.5714285714285716	0.2857142857142857	0.020942402269908147	4.197542852
2400	Q = +3	3	1.8846153846153846	0.05889423076923077	0.00557049530108484	4.197542852
2400	Q = +4	4	1.5	0.16666666666666666	0.055555555555555546	4.197542852
2400	Q = -1	3	16.096774193548388	0.5030241935483871	0.01880339835319294	4.197542852
2400	Q = -2	4	1.8571428571428572	0.20634920634920634	0.016870481895686937	4.197542852
2400	Q = -3	3	2.6538461538461537	0.0829326923076923	0.007740981821204144	4.197542852
2400	Q = -4	4	1.0	0.1111111111111111	0.0	4.197542852
2400	Q = 0	4	4.806451612903226	0.5340501792114696	0.029338181978037458	4.197542852
2500	Q = +1	3	12.129032258064516	0.3790322580645161	0.017674220116083158	4.34923809
2500	Q = +2	4	2.4285714285714284	0.2698412698412698	0.02316388983520934	4.34923809
2500	Q = +3	3	2.08	0.065	0.006229131828219188	4.34923809
2500	Q = +4	4	1.2	0.13333333333333333	0.022222222222222216	4.34923809
2500	Q = -1	3	16.06451612903226	0.5020161290322581	0.020542432270462565	4.34923809
2500	Q = -2	4	1.8571428571428572	0.2063492063492063	0.016870481895686937	4.34923809
2500	Q = -3	3	2.4444444444444446	0.0763888888888889	0.006314952146120132	4.34923809
2500	Q = -4	4	1.0	0.1111111111111111	0.0	4.34923809
2500	Q = 0	4	4.806451612903226	0.5340501792114696	0.028418818186189347	4.34923809
2600	Q = +1	3	11.741935483870968	0.36693548387096775	0.017508622943700303	4.500933328
2600	Q = +2	4	2.642857142857143	0.2936507936507936	0.02371133978791667	4.500933328
2600	Q = +3	3	1.7407407407407407	0.05439814814814815	0.005919077684684708	4.500933328
2600	Q = +4	4	1.0	0.1111111111111111	0.0	4.500933328
2600	Q = -1	3	16.774193548387096	0.5241935483870968	0.018371497580320962	4.500933328
2600	Q = -2	4	1.8461538461538463	0.20512820512820515	0.014704829516312181	4.500933328
2600	Q = -3	3	2.259259259259259	0.07060185185185185	0.005919077684684708	4.500933328
2600	Q = -4	4	1.0	0.1111111111111111	0.0	4.500933328
2600	Q = 0	4	4.838709677419355	0.5376344086021506	0.031803514568729055	4.500933328
2700	Q = +1	3	11.903225806451612	0.3719758064516129	0.015497113652688447	4.652628566000001
2700	Q = +2	4	2.3793103448275863	0.264367816091954	0.0209355134087633	4.652628566000001
2700	Q = +3	3	1.8	0.05625	0.005103103630798287	4.652628566000001
2700	Q = +4	4	1.0	0.11111111111111112	0.0	4.652628566000001
2700	Q = -1	3	16.580645161290324	0.5181451612903226	0.01802904904410148	4.652628566000001
2700	Q = -2	4	1.84	0.20444444444444446	0.01889977899581196	4.652628566000001
2700	Q = -3	3	2.3703703703703702	0.07407407407407407	0.007298940996816089	4.652628566000001
2700	Q = -4	4	1.0	0.11111111111111112	0.0	4.652628566000001
2700	Q = 0	4	4.967741935483871	0.5519713261648747	0.028911796343616104	4.652628566000001
2800	Q = +1	3	11.774193548387096	0.36794354838709675	0.018655095694923407	4.804323804
2800	Q = +2	4	2.392857142857143	0.26587301587301587	0.027011346371246213	4.804323804
2800	Q = +3	3	1.6923076923076923	0.052884615384615384	0.004831670971692736	4.804323804
2800	Q = +4	4	1.0	0.11111111111111112	0.0	4.804323804
2800	Q = -1	3	16.451612903225808	0.5141129032258065	0.019595557287762123	4.804323804
2800	Q = -2	4	1.68	0.18666666666666668	0.015342455686820725	4.804323804
2800	Q = -3	3	2.5172413793103448	0.07866379310344827	0.006322830288766271	4.804323804
2800	Q = -4	4	1.0	0.1111111111111111	0.0	4.804323804
2800	Q = 0	4	5.225806451612903	0.5806451612903225	0.033277403264330215	4.804323804
2900	Q = +1	3	11.35483870967742	0.3548387096774194	0.01617307494813016	4.956019042
2900	Q = +2	4	2.413793103448276	0.268199233716475	0.0230795496905397	4.956019042
2900	Q = +3	3	1.7037037037037037	0.05324074074074074	0.004354351588546111	4.956019042
2900	Q = +4	4	1.0	0.1111111111111111	0.0	4.956019042
2900	Q = -1	3	17.0	0.53125	0.017807871734121537	4.956019042
2900	Q = -2	4	1.6666666666666667	0.1851851851851852	0.015920869511501762	4.956019042
2900	Q = -3	3	2.4814814814814814	0.0775462962962963	0.006748786915330209	4.956019042
2900	Q = -4	4	1.0	0.1111111111111111	0.0	4.956019042
2900	Q = 0	4	5.225806451612903	0.5806451612903227	0.03164152617468607	4.956019042
3000	Q = +1	3	11.516129032258064	0.3598790322580645	0.01676743944875625	5.107714280000001
3000	Q = +2	4	2.4482758620689653	0.27203065134099613	0.028962794866607453	5.107714280000001
3000	Q = +3	3	1.5555555555555556	0.04861111111111111	0.00451696969158327	5.107714280000001
3000	Q = +4	4	1.0	0.1111111111111111	0.0	5.107714280000001
3000	Q = -1	3	16.838709677419356	0.5262096774193549	0.01798955079312619	5.107714280000001
3000	Q = -2	4	1.7083333333333333	0.1898148148148148	0.018290667508926755	5.107714280000001
3000	Q = -3	3	2.6296296296296298	0.08217592592592593	0.006702824154102106	5.107714280000001
3000	Q = -4	4	1.0	0.1111111111111111	0.0	5.107714280000001
3000	Q = 0	4	5.161290322580645	0.5734767025089605	0.03536116747180107	5.107714280000001
3100	Q = +1	3	11.258064516129032	0.35181451612903225	0.01720613859474746	5.259409518
3100	Q = +2	4	2.3448275862068964	0.26053639846743293	0.027169509898173738	5.259409518
3100	Q = +3	3	1.5925925925925926	0.04976851851851852	0.004173091754009247	5.259409518
3100	Q = +4	4	1.0	0.11111111111111112	0.0	5.259409518
3100	Q = -1	3	17.161290322580644	0.5362903225806451	0.01816381955878976	5.259409518
3100	Q = -2	4	1.6	0.17777777777777778	0.01571348402636772	5.259409518
3100	Q = -3	3	2.4285714285714284	0.07589285714285714	0.005666497846624932	5.259409518
3100	Q = -4	4	1.0	0.1111111111111111	0.0	5.259409518
3100	Q = 0	4	5.193548387096774	0.5770609318996416	0.03472573882835833	5.259409518
3200	Q = +1	3	11.064516129032258	0.34576612903225806	0.01587074782389814	5.411104756
3200	Q = +2	4	2.4285714285714284	0.26984126984126977	0.028818579609114974	5.411104756
3200	Q = +3	3	1.7307692307692308	0.054086538461538464	0.0053590136561557575	5.411104756
3200	Q = +4	4	1.0	0.11111111111111112	0.0	5.411104756
3200	Q = -1	3	17.193548387096776	0.5372983870967742	0.01629409822635359	5.411104756
3200	Q = -2	4	1.5	0.1666666666666667	0.01638243957276635	5.411104756
3200	Q = -3	3	2.5357142857142856	0.07924107142857142	0.006116747249572681	5.411104756
