frame	type	coordination	number	fraction	err	time	mT
67000	Q = +1	3	191.0	0.41075268817204297	0.0068906751774611705	670.0	8.375
67000	Q = +3	3	40.0	0.08602150537634409	0.003041319488974397	670.0	8.375
67000	Q = -1	3	190.2	0.4090322580645161	0.004922805652584776	670.0	8.375
67000	Q = -3	3	43.8	0.09419354838709676	0.004052557426552708	670.0	8.375
68000	Q = +1	3	191.7	0.41225806451612895	0.008366239421080853	680.0	8.5
68000	Q = +3	3	39.3	0.08451612903225808	0.0028322216867581944	680.0	8.5
68000	Q = -1	3	191.1	0.4109677419354839	0.005756678570011142	680.0	8.5
68000	Q = -3	3	42.9	0.09225806451612904	0.003997018454322768	680.0	8.5
69000	Q = +1	3	192.5	0.413978494623656	0.006556299206680703	690.0	8.625
69000	Q = +3	3	38.1	0.08193548387096777	0.0027098291285212604	690.0	8.625
69000	Q = -1	3	191.6	0.4120430107526881	0.004231212778028304	690.0	8.625
69000	Q = -3	3	42.8	0.09204301075268816	0.003936782858135048	690.0	8.625
70000	Q = +1	3	192.5	0.4139784946236559	0.006959314637615624	700.0	8.75
70000	Q = +3	3	37.5	0.08064516129032259	0.0025895902319983425	700.0	8.75
70000	Q = -1	3	192.7	0.4144086021505377	0.00403030617831415	700.0	8.75
70000	Q = -3	3	42.3	0.09096774193548388	0.003541682961157168	700.0	8.75
71000	Q = +1	3	193.5	0.4161290322580645	0.0077951839322335315	710.0	8.875
71000	Q = +3	3	37.0	0.07956989247311827	0.0027577611557951746	710.0	8.875
71000	Q = -1	3	192.7	0.4144086021505376	0.004925414591054302	710.0	8.875
71000	Q = -3	3	41.8	0.08989247311827958	0.0033897033455302897	710.0	8.875
72000	Q = +1	3	194.7	0.4187096774193548	0.008078760816563346	720.0	9.0
72000	Q = +3	3	36.5	0.07849462365591398	0.002628977895468423	720.0	9.0
72000	Q = -1	3	192.3	0.4135483870967742	0.005590019129715244	720.0	9.0
72000	Q = -3	3	41.5	0.08924731182795699	0.0036021059573909994	720.0	9.0
73000	Q = +1	3	196.0	0.421505376344086	0.006570000996352462	730.0	9.125
73000	Q = +3	3	34.7	0.0746236559139785	0.002078853046594983	730.0	9.125
73000	Q = -1	3	194.0	0.4172043010752688	0.004277113660265601	730.0	9.125
73000	Q = -3	3	40.3	0.08666666666666667	0.003423642705737506	730.0	9.125
74000	Q = +1	3	197.3	0.4243010752688173	0.006233262425327132	740.0	9.25
74000	Q = +3	3	34.4	0.07397849462365594	0.002107087950781229	740.0	9.25
74000	Q = -1	3	193.8	0.416774193548387	0.003870967741935483	740.0	9.25
74000	Q = -3	3	39.5	0.08494623655913977	0.00385033663139664	740.0	9.25
75000	Q = +1	3	198.4	0.4266666666666665	0.0058342623510755	750.0	9.375
75000	Q = +3	3	33.4	0.07182795698924731	0.002082557569366876	750.0	9.375
75000	Q = -1	3	194.4	0.4180645161290323	0.0047355253232727575	750.0	9.375
75000	Q = -3	3	38.8	0.08344086021505377	0.004102964307169659	750.0	9.375
76000	Q = +1	3	199.1	0.4281720430107527	0.00576559812690979	760.0	9.5
76000	Q = +3	3	32.4	0.0696774193548387	0.002724014336917561	760.0	9.5
76000	Q = -1	3	196.1	0.4217204301075269	0.0040607911220841685	760.0	9.5
76000	Q = -3	3	37.4	0.08043010752688172	0.0036860100737440686	760.0	9.5
77000	Q = +1	3	199.8	0.4296774193548387	0.006806639409588082	770.0	9.625
77000	Q = +3	3	32.0	0.06881720430107527	0.002221065718255152	770.0	9.625
77000	Q = -1	3	196.1	0.4217204301075269	0.00445887355988071	770.0	9.625
77000	Q = -3	3	37.1	0.07978494623655914	0.003826238321170615	770.0	9.625
78000	Q = +1	3	201.0	0.43225806451612897	0.0056444500888973535	780.0	9.75
78000	Q = +3	3	30.6	0.06580645161290323	0.0026083735338580994	780.0	9.75
78000	Q = -1	3	197.1	0.42387096774193533	0.004294499154336962	780.0	9.75
78000	Q = -3	3	36.3	0.07806451612903224	0.0037666823384715827	780.0	9.75
79000	Q = +1	3	203.1	0.43677419354838704	0.006293972125950064	790.0	9.875
79000	Q = +3	3	29.5	0.06344086021505377	0.002589590231998343	790.0	9.875
79000	Q = -1	3	196.3	0.42215053763440863	0.0030590090743156852	790.0	9.875
79000	Q = -3	3	36.1	0.07763440860215054	0.003866318726928115	790.0	9.875
80000	Q = +1	3	203.5	0.4376344086021505	0.005869825403852124	800.0	10.0
80000	Q = +3	3	28.4	0.0610752688172043	0.0020825575693668745	800.0	10.0
80000	Q = -1	3	197.5	0.4247311827956989	0.0030957452160127828	800.0	10.0
80000	Q = -3	3	35.6	0.07655913978494625	0.004680954184176202	800.0	10.0
